"filename", "language", "JSON", "C++", "CMake", "Markdown", "HTML", "Python", "XML", "GLSL", "Slang", "PostCSS", "comment", "blank", "total"
"d:\temp\Lumen\examples\demo3d\shaders\grid.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"d:\temp\Lumen\examples\demo3d\shaders\skybox.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 7, 34
"d:\temp\Lumen\examples\demo3d\shaders\skybox.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"d:\temp\Lumen\examples\demo3d\src\main.cpp", "C++", 0, 1891, 0, 0, 0, 0, 0, 0, 0, 0, 37, 138, 2066
"d:\temp\Lumen\examples\demo3d\src\pbr_resources.cpp", "C++", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 176
"d:\temp\Lumen\examples\demo3d\src\pbr_resources.hpp", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 28
"d:\temp\Lumen\examples\sandbox\CMakeLists.txt", "CMake", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"d:\temp\Lumen\examples\sandbox\shaders\texture.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 5, 12
"d:\temp\Lumen\examples\sandbox\shaders\texture.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 6, 23
"d:\temp\Lumen\examples\sandbox\shaders\triangle.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 5, 20
"d:\temp\Lumen\examples\sandbox\shaders\triangle.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"d:\temp\Lumen\examples\sandbox\src\main.cpp", "C++", 0, 479, 0, 0, 0, 0, 0, 0, 0, 0, 20, 61, 560
"d:\temp\Lumen\examples\shadertoy\CMakeLists.txt", "CMake", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
